Crop_Name,Nitrogen,Phosphorous,Potassium,Temperature,Humidity,Soil_pH,Rainfall,Altitude_msl,Soil_Type,Organic_Carbon,Budget_per_Acre,Sunlight_Hours
Ashwagandha,33.28853278,39.58584273,35.45350889,34.32738851,51.9785631,7.613602264,347.3256478,65,Sandy Loam,0.34,48261,9.468681765
Ashwagandha,35.40831824,19.45976087,45.78261142,32.28484729,59.04832791,7.09373638,407.678294,1352,Sandy Loam,0.51,71877,8.164221587
Ashwagandha,47.15221328,27.67728894,49.25958015,33.10476506,48.38227057,6.628539478,331.5604243,1493,Sandy Loam,0.36,60313,7.654793476
Ashwagandha,35.51286663,42.218817,29.51725226,27.16383844,60.32773532,7.14920732,503.7430244,589,Sandy Loam,0.42,65377,7.79186777
Ashwagandha,48.19601022,26.8970793,54.16890135,24.39607899,61.14024719,7.498935998,458.0979768,1308,Sandy Loam,0.75,43896,7.75059313
Ashwagandha,54.36363291,21.5018235,60.80553633,27.40590875,46.52459843,7.909966688,315.1701522,163,Sandy Loam,0.57,54611,7.835383075
Ashwagandha,40.22439371,36.50668007,40.51615521,25.80671595,32.43304354,7.424204507,407.9662537,1454,Sandy Loam,0.49,41960,7.424400955
Ashwagandha,46.5712884,39.38451931,35.22922425,24.48294876,41.16758797,6.725765206,618.6448943,1099,Sandy Loam,0.6,30249,6.908629651
Ashwagandha,34.42340698,27.20934068,32.90798908,33.90806245,46.37645142,6.99558594,461.81842,1292,Sandy Loam,0.6,58514,6.84208967
Ashwagandha,43.47674345,40.60838612,50.73612297,35.9487313,54.86591554,6.595217695,437.1768969,488,Sandy Loam,0.69,76078,7.892391718
Ashwagandha,36.88705058,18.95425809,50.37722863,23.78077176,54.32284439,6.063500093,390.3528247,14,Sandy Loam,0.55,54397,7.896449733
Ashwagandha,59.46462152,34.89349404,40.14205458,24.35021889,50.49630564,7.396549912,399.9979691,1315,Sandy Loam,0.39,34707,8.159241313
